Name,Cals,FatCals,Fat(g),Sat(g),Trans(g),Chol(mg),Sod(mg),Carbs(g),Fiber(g),Sugar(g),Prot(g),,Kind
Guacamole Burger,1260,620,69,24,1.5,155,3170,108,9,9,54,,Burger
Mushroom-Swiss Burger,1310,670,74,23,1.5,150,3350,108,9,10,55,,Burger
Oldtimer with Cheddar Cheese,1160,530,59,20,1.5,145,3200,104,7,9,52,,Burger
Southern Smokehouse Burger,1550,810,90,27,1.5,180,4190,123,8,21,62,,Burger
Cajun Pasta w/ Grilled Chicken,1270,530,59,27,0,190,4580,115,8,8,71,,Entree
Cajun Pasta w/ Grilled Shrimp,1250,570,64,29,0,205,4470,113,6,9,54,,Entree
Crispy Chicken Crispers - No Sauce,1360,570,63,11,0,135,3530,139,11,5,59,,Entree
Crispy Honey-Chipotle Chicken Crispers,1790,710,79,14,0,150,4860,210,11,56,60,,Entree
Lighter Choice Margarita Grilled Chicken,610,150,16,3.5,0,130,2580,68,8,6,51,,Entree
Monterey Chicken,940,460,51,19,0,195,3560,56,9,12,67,,Entree
Original Chicken Crispers,1550,740,82,14,0,145,4440,141,11,14,63,,Entree
Parmesan-Crusted Tilapia,650,270,30,11,0,90,1800,55,8,2,42,,Entree
Salmon with Garlic & Herbs,650,320,35,8,0,100,1930,39,5,2,47,,Entree
Black Beans,100,5,0.5,0,0,0,650,18,5,1,6,,Side dish
Cinnamon Apples,270,90,11,3.5,0,0,95,45,3,24,1,,Side dish
Homestyle Fries,410,150,17,2,0,0,1370,60,5,0,5,,Side dish
Mashed Potatoes - Loaded,380,210,24,7,0,30,1030,32,4,2,11,,Side dish
Mashed Potatoes w/ Black Pepper Gravy,310,160,17,3.5,0,5,1300,35,4,1,5,,Side dish
Rice,160,35,4,1,0,0,550,29,1,0,3,,Side dish
Southwestern Mac 'N' Cheese,490,270,30,14,0.5,55,1450,38,2,9,19,,Side dish
Spicy Garlic & Lime Shrimp-Full Order,170,80,9,2.5,0,105,1120,6,1,3,15,,Side dish
Spicy Garlic & Lime Shrimp-Half Order,80,40,4.5,1.5,0,50,560,3,0,1,7,,Side dish
Steamed Broccoli,80,45,5,1.5,0,0,450,9,4,2,3,,Side dish
Sweet Corn on the Cob,220,60,6,1.5,0,0,370,37,4,5,5,,Side dish
Sweet Potato Fries,420,190,21,3.5,0,0,970,53,9,21,4,,Side dish
Brownie Sundae,1090,360,40,21,0,170,740,171,6,130,15,,Dessert
Cheesecake,750,430,47,27,1.5,235,500,69,2,57,12,,Dessert
Molten Chocolate Cake,1160,570,63,31,1,140,1110,145,5,104,13,,Dessert
Skillet Chocolate Chip Cookie,1430,640,71,38,1,115,930,187,6,115,16,,Dessert
Soda - Coca Cola,190,0,0,0,0,0,65,53,0,53,0,,Beverage
Soda - Coca Cola Zero,0,0,0,0,0,0,80,0,0,0,0,,Beverage
Soda - Diet Coke,0,0,0,0,0,0,60,0,0,0,0,,Beverage
Soda - Dr. Pepper,200,0,0,0,0,0,70,54,0,54,0,,Beverage
Soda - IBC Rootbeer Bottle,170,0,0,0,0,0,60,44,0,44,0,,Beverage
Soda - Sprite,200,0,0,0,0,0,90,52,0,52,0,,Beverage
Minute Maid Lemonade,200,0,0,0,0,0,65,55,0,52,0,,Beverage
Iced Tea - Blackberry,80,0,0,0,0,0,10,20,0,19,0,,Beverage
Iced Tea - Mango,80,0,0,0,0,0,10,20,0,18,0,,Beverage
Strawberry Lemonade,160,0,0,0,0,0,40,43,1,39,0,,Beverage
Kids - Rockin' Tropical Punch,200,0,0,0,0,0,15,47,0,47,0,,Beverage
Kids - Electric Blue Blast,210,0,0,0,0,0,10,51,0,51,0,,Beverage
Kids - Chocolate Milk,260,60,6,4,0,30,310,41,1,40,11,,Beverage
Kids - Milk,150,50,6,4,0,25,140,15,0,15,10,,Beverage
Kids - Apple Juice,120,0,0,0,0,0,10,29,0,28,0,,Beverage
Kids - Cranberry Juice,120,0,0,0,0,0,35,30,2,30,0,,Beverage
Kids - Orange Juice,110,5,0,0,0,0,0,26,0,21,2,,Beverage
Burger,340,160,18,8,0.5,65,570,24,1,4,22,,Child meal
Cheese Quesadilla,450,270,30,14,0,50,710,29,1,1,17,,Child meal
Cheeseburger,410,210,23,11,1,80,910,25,1,4,25,,Child meal
Corn Dog,230,100,11,3,0,20,400,25,1,8,6,,Child meal
Crispy Chicken Crispers,430,220,24,4.5,0,80,1080,25,1,0,29,,Child meal
Grilled Cheese Sandwich,430,230,26,11,0,35,1080,35,1,5,12,,Child meal
Grilled Chicken Platter,160,35,4,1,0,90,690,1,0,0,31,,Child meal
Grilled Chicken Sandwich,250,60,6,2.5,0,65,610,25,1,4,24,,Child meal
Kraft Macaroni & Cheese,440,110,13,3.5,0,20,820,64,3,11,16,,Child meal
Little Original Chicken Crispers,430,220,24,5,0,80,1410,20,1,0,31,,Child meal
Pizza - Cheese - 6 in,590,230,26,11,0,40,980,65,2,7,22,,Child meal
Pizza - Pepperoni - 6 in,690,310,35,14,0,70,1180,65,2,7,26,,Child meal
